City,,minimum _salary,Fx,hourly_minimum_salary_hk(other countries),monthly_minimum_salary_hk(China ),hourly_minimum_salary_hk,,,,,
Dartmouth,USD,15,7.85,117.75,0,117.75,,,,,
Phoenix,USD,14.7,7.85,115.395,0,115.395,,,,,
Southport,AUD,16.35,5.1,83.385,0,83.385,,,,,
Canyon,USD,7.25,7.85,56.9125,0,56.9125,,,,,
Las Vegas,USD,12,7.85,94.2,0,94.2,,,,,
Savannah,USD,7.25,7.85,56.9125,0,56.9125,,,,,
Penryn,GBP,16.5,10.5,173.25,0,173.25,,,,,
Leura,AUD,24.95,5.1,127.245,0,127.245,,,,,
Valencia,USD,16.5,7.85,129.525,0,129.525,,,,,
La Jolla,USD,16.5,7.85,129.525,0,129.525,,,,,
Newcastle,GBP,12.21,10.5,128.205,0,128.205,,,,,
Quebec City,CAD,16.1,5.7,91.77,0,91.77,,,,,
Milton Keynes,GBP,12.21,10.5,128.205,0,128.205,,,,,
Bloomfield Hills,USD,12.48,7.85,97.968,0,97.968,,,,,
Epsom,GBP,12.21,10.5,128.205,0,128.205,,,,,
Falmouth,GBP,15,10.5,157.5,0,157.5,,,,,
Williamstown,USD,15,7.85,117.75,0,117.75,,,,,
Purchase,USD,16.5,7.85,129.525,0,129.525,,,,,
"Washington, D.C.",USD,17.95,7.85,140.9075,0,140.9075,,,,,
Santa Clara,USD,18.2,7.85,142.87,0,142.87,,,,,
Cranfield,GBP,12.21,10.5,128.205,0,128.205,,,,,
Derry,GBP,7.25,10.5,76.125,0,76.125,,,,,
Akron,USD,10.7,7.85,83.995,0,83.995,,,,,
Socorro,USD,12,7.85,94.2,0,94.2,,,,,
Orono,USD,14.65,7.85,115.0025,0,115.0025,,,,,
Rockhampton,AUD,24.95,5.1,127.245,0,127.245,,,,,
Bozeman,USD,10.55,7.85,82.8175,0,82.8175,,,,,
Thunder Bay,CAD,17.2,5.7,98.04,0,98.04,,,,,
Greenville,USD,7.25,7.85,56.9125,0,56.9125,,,,,
Charlottetown,CAD,16,5.7,91.2,0,91.2,,,,,
