City,,liv_exp_low ( rent is included ),liv_exp_high ( rent is included ),,,Fx,liv_exp_low_hkd,liv_exp_high_hkd,,,,,
Honolulu,USD,2000,3500,,,7.85,15700,27475,,,,,
Windsor,CAD,1500,2500,,,5.7,8550,14250,,,,,
Tallahassee,USD,1200,2000,,,7.85,9420,15700,,,,,
Newark,USD,1500,2500,,,7.85,11775,19625,,,,,
Bangor,GBP,900,1500,,,10.5,9450,15750,,,,,
Golden,USD,1300,2200,,,7.85,10205,17270,,,,,
Casuarina,AUD,2000,3500,,,5.1,10200,17850,,,,,
Gold Coast,AUD,2000,3500,,,5.1,10200,17850,,,,,
New Orleans,USD,1400,2300,,,7.85,10990,18055,,,,,
Richardson,USD,1300,2200,,,7.85,10205,17270,,,,,
Knoxville,USD,1200,2000,,,7.85,9420,15700,,,,,
Coleraine,GBP,900,1500,,,10.5,9450,15750,,,,,
New York City,USD,2500,4000,,,7.85,19625,31400,,,,,
Plymouth,GBP,900,1500,,,10.5,9450,15750,,,,,
Zhengzhou,CNY,5000,10000,,,1.1,5500,11000,,,,,
Fredericton,CAD,1500,2500,,,5.7,8550,14250,,,,,
Corvallis,USD,1300,2200,,,7.85,10205,17270,,,,,
Rolla,USD,1200,2000,,,7.85,9420,15700,,,,,
Columbia,USD,1200,2000,,,7.85,9420,15700,,,,,
Portsmouth,GBP,900,1500,,,10.5,9450,15750,,,,,
Lismore,AUD,1800,3000,,,5.1,9180,15300,,,,,
Manchester,GBP,1000,1700,,,10.5,10500,17850,,,,,
Winnipeg,CAD,1500,2500,,,5.7,8550,14250,,,,,
Xuzhou,CNY,5000,10000,,,1.1,5500,11000,,,,,
Tampa,USD,1400,2300,,,7.85,10990,18055,,,,,
Kingston upon Thames,GBP,1000,1700,,,10.5,10500,17850,,,,,
St. John's,CAD,1500,2500,,,5.7,8550,14250,,,,,
Norman,USD,1200,2000,,,7.85,9420,15700,,,,,
Bethlehem,USD,1300,2200,,,7.85,10205,17270,,,,,
Hoboken,USD,1800,3000,,,7.85,14130,23550,,,,,
Troy,USD,1300,2200,,,7.85,10205,17270,,,,,
Orlando,USD,1400,2300,,,7.85,10990,18055,,,,,
Lincoln,USD,1200,2000,,,7.85,9420,15700,,,,,
Cincinnati,USD,1300,2200,,,7.85,10205,17270,,,,,
Lubbock,USD,1200,2000,,,7.85,9420,15700,,,,,
Aberystwyth,GBP,900,1500,,,10.5,9450,15750,,,,,
Waltham,USD,1500,2500,,,7.85,11775,19625,,,,,
Syracuse,USD,1300,2200,,,7.85,10205,17270,,,,,
Albuquerque,USD,1200,2000,,,7.85,9420,15700,,,,,
Eugene,USD,1300,2200,,,7.85,10205,17270,,,,,
Lexington,USD,1200,2000,,,7.85,9420,15700,,,,,
Detroit,USD,1200,2000,,,7.85,9420,15700,,,,,
Lanzhou,CNY,5000,10000,,,1.1,5500,11000,,,,,
Winston-Salem,USD,1200,2000,,,7.85,9420,15700,,,,,
Poole,GBP,900,1500,,,10.5,9450,15750,,,,,
Keele,GBP,900,1500,,,10.5,9450,15750,,,,,
Yangling,CNY,5000,10000,,,1.1,5500,11000,,,,,
Qingdao,CNY,6000,12000,,,1.1,6600,13200,,,,,
Suzhou,CNY,6000,12000,,,1.1,6600,13200,,,,,
New York,USD,2500,4000,,,7.85,19625,31400,,,,,
Greenwich,GBP,1000,1700,,,10.5,10500,17850,,,,,
Auburn,USD,1200,2000,,,7.85,9420,15700,,,,,
Wuxi,CNY,6000,12000,,,1.1,6600,13200,,,,,
Liverpool,GBP,900,1500,,,10.5,9450,15750,,,,,
Baton Rouge,USD,1200,2000,,,7.85,9420,15700,,,,,
Stillwater,USD,1200,2000,,,7.85,9420,15700,,,,,
Denver,USD,1500,2500,,,7.85,11775,19625,,,,,
Worcester,USD,1300,2200,,,7.85,10205,17270,,,,,
Manhattan,USD,1200,2000,,,7.85,9420,15700,,,,,
Macau,MOP,15000,25000,,,#N/A,#N/A,#N/A,,,,,
Houghton,USD,1200,2000,,,7.85,9420,15700,,,,,
Sherbrooke,CAD,1500,2500,,,5.7,8550,14250,,,,,
Albany,USD,1300,2200,,,7.85,10205,17270,,,,,
